Attempt 114, 1000 iterations, Validation accuracy = 0.42
Attempt 115, 1000 iterations, Validation accuracy = 0.42
Attempt 116, 1000 iterations, Validation accuracy = 0.45
Attempt 117, 1000 iterations, Validation accuracy = 0.42
Attempt 118, 1000 iterations, Validation accuracy = 0.37
Attempt 119, 1000 iterations, Validation accuracy = 0.49
Attempt 120, 1000 iterations, Validation accuracy = 0.22
Attempt 121, 1000 iterations, Validation accuracy = 0.35
Attempt 122, 1000 iterations, Validation accuracy = 0.31
Attempt 123, 1000 iterations, Validation accuracy = 0.37
Attempt 124, 1000 iterations, Validation accuracy = 0.4
Attempt 125, 1000 iterations, Validation accuracy = 0.36
Attempt 126, 1000 iterations, Validation accuracy = 0.37
Attempt 127, 1000 iterations, Validation accuracy = 0.43
Attempt 128, 1000 iterations, Validation accuracy = 0.39
Attempt 129, 1000 iterations, Validation accuracy = 0.41
Attempt 130, 1000 iterations, Validation accuracy = 0.4
Attempt 131, 1000 iterations, Validation accuracy = 0.42
Attempt 132, 1000 iterations, Validation accuracy = 0.48
Attempt 133, 1000 iterations, Validation accuracy = 0.41
Attempt 134, 1000 iterations, Validation accuracy = 0.44
Attempt 135, 1000 iterations, Validation accuracy = 0.36
Attempt 136, 1000 iterations, Validation accuracy = 0.44
Attempt 137, 1000 iterations, Validation accuracy = 0.47
Attempt 138, 1000 iterations, Validation accuracy = 0.38
Attempt 139, 1000 iterations, Validation accuracy = 0.43
Attempt 140, 1000 iterations, Validation accuracy = 0.42
Attempt 141, 1000 iterations, Validation accuracy = 0.41
Attempt 142, 1000 iterations, Validation accuracy = 0.41
Attempt 143, 1000 iterations, Validation accuracy = 0.41
Attempt 144, 1000 iterations, Validation accuracy = 0.29
Attempt 145, 1000 iterations, Validation accuracy = 0.42
Attempt 146, 1000 iterations, Validation accuracy = 0.42
Attempt 147, 1000 iterations, Validation accuracy = 0.47
Attempt 148, 1000 iterations, Validation accuracy = 0.4
Attempt 149, 1000 iterations, Validation accuracy = 0.38
Attempt 150, 1000 iterations, Validation accuracy = 0.45
Attempt 151, 1000 iterations, Validation accuracy = 0.47
Attempt 152, 1000 iterations, Validation accuracy = 0.42
Attempt 153, 1000 iterations, Validation accuracy = 0.43
Attempt 154, 1000 iterations, Validation accuracy = 0.36
Attempt 155, 1000 iterations, Validation accuracy = 0.38
Attempt 156, 1000 iterations, Validation accuracy = 0.39
Attempt 157, 1000 iterations, Validation accuracy = 0.45
Attempt 158, 1000 iterations, Validation accuracy = 0.46
Attempt 159, 1000 iterations, Validation accuracy = 0.43
Attempt 160, 1000 iterations, Validation accuracy = 0.41
Attempt 161, 1000 iterations, Validation accuracy = 0.43
Attempt 162, 1000 iterations, Validation accuracy = 0.49
Attempt 163, 1000 iterations, Validation accuracy = 0.45
Attempt 164, 1000 iterations, Validation accuracy = 0.35
Attempt 165, 1000 iterations, Validation accuracy = 0.43
Attempt 166, 1000 iterations, Validation accuracy = 0.41
Attempt 167, 1000 iterations, Validation accuracy = 0.42
Attempt 168, 1000 iterations, Validation accuracy = 0.39
Attempt 169, 1000 iterations, Validation accuracy = 0.44
Attempt 170, 1000 iterations, Validation accuracy = 0.41
Attempt 171, 1000 iterations, Validation accuracy = 0.46
Attempt 172, 1000 iterations, Validation accuracy = 0.38
Attempt 173, 1000 iterations, Validation accuracy = 0.41
Attempt 174, 1000 iterations, Validation accuracy = 0.41
Attempt 175, 1000 iterations, Validation accuracy = 0.46
Attempt 176, 1000 iterations, Validation accuracy = 0.43
Attempt 177, 1000 iterations, Validation accuracy = 0.41
Attempt 178, 1000 iterations, Validation accuracy = 0.44
Attempt 179, 1000 iterations, Validation accuracy = 0.41
Attempt 180, 1000 iterations, Validation accuracy = 0.44
Attempt 181, 1000 iterations, Validation accuracy = 0.4
Attempt 182, 1000 iterations, Validation accuracy = 0.41
Attempt 183, 1000 iterations, Validation accuracy = 0.45
Attempt 184, 1000 iterations, Validation accuracy = 0.39
Attempt 185, 1000 iterations, Validation accuracy = 0.43
Attempt 186, 1000 iterations, Validation accuracy = 0.46
Attempt 187, 1000 iterations, Validation accuracy = 0.4
Attempt 188, 1000 iterations, Validation accuracy = 0.41
Attempt 189, 1000 iterations, Validation accuracy = 0.41
Attempt 190, 1000 iterations, Validation accuracy = 0.43
Attempt 191, 1000 iterations, Validation accuracy = 0.41
Attempt 192, 1000 iterations, Validation accuracy = 0.41
Attempt 193, 1000 iterations, Validation accuracy = 0.32
Attempt 194, 1000 iterations, Validation accuracy = 0.31
Attempt 195, 1000 iterations, Validation accuracy = 0.47
Attempt 196, 1000 iterations, Validation accuracy = 0.42
Attempt 197, 1000 iterations, Validation accuracy = 0.47
Attempt 198, 1000 iterations, Validation accuracy = 0.4
Attempt 199, 1000 iterations, Validation accuracy = 0.39
Attempt 200, 1000 iterations, Validation accuracy = 0.45
Attempt 201, 1000 iterations, Validation accuracy = 0.42
Attempt 202, 1000 iterations, Validation accuracy = 0.34
Attempt 203, 1000 iterations, Validation accuracy = 0.42
Attempt 204, 1000 iterations, Validation accuracy = 0.43
Attempt 205, 1000 iterations, Validation accuracy = 0.43
Attempt 206, 1000 iterations, Validation accuracy = 0.47
Attempt 207, 1000 iterations, Validation accuracy = 0.46
Attempt 208, 1000 iterations, Validation accuracy = 0.41
Attempt 209, 1000 iterations, Validation accuracy = 0.41
Attempt 210, 1000 iterations, Validation accuracy = 0.34
Attempt 211, 1000 iterations, Validation accuracy = 0.42
Attempt 212, 1000 iterations, Validation accuracy = 0.44
Attempt 213, 1000 iterations, Validation accuracy = 0.42
Attempt 214, 1000 iterations, Validation accuracy = 0.42
Attempt 215, 1000 iterations, Validation accuracy = 0.36
Attempt 216, 1000 iterations, Validation accuracy = 0.33
Attempt 217, 1000 iterations, Validation accuracy = 0.4
Attempt 218, 1000 iterations, Validation accuracy = 0.43
Attempt 219, 1000 iterations, Validation accuracy = 0.41
Attempt 220, 1000 iterations, Validation accuracy = 0.42
